Date,Open,High,Low,Close,Volume
2023-03-17,99.79,100.66,97.455,98.95,87300242
2023-03-16,95.75,100.99,95.61,100.04,84558934
2023-03-15,93.22,96.67,93.07,96.2,70731792
2023-03-14,93.83,95.07,92.71,94.88,60912674
2023-03-13,89.97,94.02,88.12,92.43,72397053
2023-03-10,92.67,93.57,90.245,90.73,69827490
2023-03-09,93.68,96.21,92.18,92.25,56218705
2023-03-08,93.6,94.165,92.18,93.92,44899128
2023-03-07,94.06,95.09,92.78,93.55,49100668
2023-03-06,95.19,96.545,93.74,93.75,52112355
2023-03-03,92.74,94.94,92.66,94.9,55759609
2023-03-02,91.41,92.23,90.39,92.13,55574820
2023-03-01,93.87,94.68,91.59,92.17,52299524
2023-02-28,93.14,94.69,92.92,94.23,43959290
2023-02-27,94.28,94.78,93.14,93.76,47470321
2023-02-24,93.53,94.14,92.3186,93.5,57053812
2023-02-23,96.12,96.43,93.67,95.82,48466994
2023-02-22,95.1,97.01,94.8,95.79,59534094
2023-02-21,95.335,95.605,94.27,94.58,56580360
2023-02-17,97.8,97.94,95.65,97.2,60029405
2023-02-16,99.21,100.63,98.1,98.15,56339173
2023-02-15,99.09,101.17,98.45,101.16,48053879
2023-02-14,98.41,100.9207,97.52,99.7,56202898
2023-02-13,97.85,99.68,96.91,99.54,52841464
2023-02-10,97.56,98.8163,96.23,97.61,52740133
2023-02-09,101.32,101.78,97.57,98.24,64622489
2023-02-08,102.04,102.6699,98.775,100.05,75878304
2023-02-07,101.17,102.41,98.08,102.11,119501301
2023-02-06,102.925,103.9484,100.65,102.18,81945199
2023-02-03,105.26,108.78,102.52,103.39,144374828
2023-02-02,110.245,114.0,108.88,112.91,158154243
2023-02-01,102.53,106.24,101.24,105.15,80450121
2023-01-31,101.155,103.3484,101.14,103.13,66527253
2023-01-30,101.09,101.74,99.01,100.55,70691860
2023-01-27,99.53,103.485,99.53,102.24,87775614
2023-01-26,98.235,99.49,96.92,99.22,68523557
2023-01-25,92.56,97.24,91.52,97.18,94261570
2023-01-24,96.93,98.09,96.0,96.32,66929452
2023-01-23,97.56,97.78,95.86,97.52,76501103
2023-01-20,93.86,97.354,93.2025,97.25,67481539
2023-01-19,94.74,95.44,92.86,93.68,69002663
2023-01-18,97.25,99.32,95.38,95.46,79570370
2023-01-17,98.68,98.89,95.73,96.05,72755001
2023-01-13,94.18,98.37,94.12,98.12,85549432
2023-01-12,96.93,97.19,93.5,95.27,85254781
2023-01-11,90.93,95.26,90.93,95.09,103126183
2023-01-10,87.57,90.185,87.29,89.87,67756601
2023-01-09,87.46,89.48,87.08,87.36,65266056
2023-01-06,83.03,86.4,81.43,86.08,83303361
2023-01-05,85.33,85.42,83.07,83.12,67930825
2023-01-04,86.55,86.98,83.36,85.14,68885123
2023-01-03,85.46,86.96,84.205,85.82,76706040
2022-12-30,83.12,84.05,82.47,84.0,62401194
2022-12-29,82.87,84.55,82.55,84.18,54995895
2022-12-28,82.8,83.48,81.69,81.82,58228575
2022-12-27,84.97,85.35,83.0,83.04,57284035
2022-12-23,83.25,85.78,82.9344,85.25,57433655
2022-12-22,85.52,85.68,82.25,83.79,81431314
2022-12-21,86.175,87.225,85.21,86.77,59267156
2022-12-20,85.33,86.61,84.33,85.19,74348301
2022-12-19,87.51,87.63,84.51,84.92,83531460
2022-12-16,88.265,89.35,86.73,87.86,146144064
2022-12-15,89.89,89.97,87.47,88.45,84802877
2022-12-14,92.502,93.4581,89.87,91.58,70298006
2022-12-13,95.23,96.25,90.52,92.49,100212038
2022-12-12,89.21,90.58,87.87,90.55,61999762
2022-12-09,88.9,90.3,88.63,89.09,67398506
2022-12-08,89.24,90.86,87.88,90.35,73305887
2022-12-07,88.34,89.89,87.48,88.46,68086880
2022-12-06,90.5,91.04,87.9,88.25,75503628
2022-12-05,93.05,94.06,90.82,91.01,71535526
2022-12-02,94.475,95.36,93.78,94.13,72496388
2022-12-01,96.99,97.23,94.92,95.5,68487969
2022-11-30,92.47,96.54,91.525,96.54,102805806
2022-11-29,94.04,94.41,91.44,92.42,65567286
2022-11-28,93.93,96.4,93.43,93.95,75062316
2022-11-25,93.79,94.43,93.065,93.41,35088609
2022-11-23,93.24,94.58,92.83,94.13,59414684
2022-11-22,92.62,93.35,90.87,93.2,62191962
2022-11-21,93.97,95.02,90.59,92.46,84330270
2022-11-18,95.95,95.99,92.48,94.14,72428185
2022-11-17,95.37,96.97,94.03,94.85,82617865
2022-11-16,96.85,98.4879,95.54,97.12,87958828
2022-11-15,103.21,103.79,97.34,98.94,111336317
2022-11-14,98.77,100.1199,97.29,98.49,99533072
2022-11-11,97.88,101.19,96.66,100.79,111590544
2022-11-10,92.935,98.69,91.65,96.63,173414862
2022-11-09,89.47,89.48,85.87,86.14,90796249
2022-11-08,90.79,91.72,88.23,89.98,88703370
2022-11-07,91.95,92.1,89.04,90.53,77495728
2022-11-04,91.49,92.44,88.04,90.98,129101336
2022-11-03,92.47,93.5,89.02,89.3,136683303
2022-11-02,97.315,97.74,92.01,92.12,135761798
2022-11-01,103.99,104.58,96.06,96.79,153370032
2022-10-31,103.56,104.87,100.74,102.44,99251395
2022-10-28,97.905,103.96,97.66,103.41,223133398
2022-10-27,113.92,114.12,109.77,110.96,129605362
2022-10-26,116.0,119.3457,114.76,115.66,69002457
2022-10-25,119.65,121.3152,118.95,120.6,50934609
2022-10-24,119.98,120.39,116.57,119.82,49531523
2022-10-21,114.792,119.59,114.5,119.32,55660485
2022-10-20,113.83,118.24,113.51,115.25,48795104
2022-10-19,114.71,116.5932,113.22,115.07,47198122
2022-10-18,119.06,119.52,114.79,116.36,65607448
2022-10-17,110.11,114.19,110.09,113.79,62781985
2022-10-14,114.1,114.96,106.6,106.9,67737344
2022-10-13,107.88,113.44,105.345,112.53,86868103
2022-10-12,112.49,113.83,111.4,112.9,45728660
2022-10-11,112.71,115.48,110.39,112.21,56432233
2022-10-10,115.1,116.25,112.43,113.67,42339675
2022-10-07,118.0,118.17,113.88,114.56,54677980
2022-10-06,120.77,121.53,119.5,120.3,42253755
2022-10-05,118.58,121.75,117.69,120.95,48217535
2022-10-04,119.89,123.0,119.79,121.09,62812564
2022-10-03,113.58,116.91,112.45,115.88,50941854
2022-09-30,114.075,116.92,112.84,113.0,59479586
2022-09-29,115.6,116.07,113.06,114.8,58969714
2022-09-28,114.38,118.7,113.8,118.01,55763750
2022-09-27,117.195,118.32,113.05,114.41,60094693
2022-09-26,113.295,117.34,113.13,115.15,62723268
2022-09-23,116.0,116.05,112.06,113.78,65126665
2022-09-22,117.08,118.79,116.26,117.31,55229190
2022-09-21,122.49,123.76,118.45,118.54,58498887
2022-09-20,123.35,124.3963,121.14,122.19,47698432
2022-09-19,122.16,124.71,121.8,124.66,47279727
2022-09-16,122.78,123.87,120.7,123.53,115667804
2022-09-15,127.38,130.37,125.495,126.28,52887196
2022-09-14,127.364,128.84,126.33,128.55,45316772
2022-09-13,131.01,131.4,126.27,126.82,72694010
2022-09-12,134.095,136.49,134.0,136.45,53826859
2022-09-09,130.91,133.69,130.76,133.27,49422259
2022-09-08,127.72,130.28,127.1,129.82,43988509
2022-09-07,126.12,129.82,125.4,129.48,47834487
2022-09-06,127.92,128.62,124.74,126.11,43888587
2022-09-02,129.5,131.38,126.39,127.51,57429829
2022-09-01,126.0,128.02,123.66,127.82,56636145
2022-08-31,129.45,130.59,126.74,126.77,53648702
2022-08-30,131.25,132.0745,126.85,128.73,49202990
2022-08-29,129.9,131.9499,128.77,129.79,48101638
2022-08-26,136.55,137.83,130.5,130.75,53322663
2022-08-25,135.26,137.42,134.28,137.28,37496283
2022-08-24,132.75,135.47,132.1,133.8,38626978
2022-08-23,133.41,134.99,132.95,133.62,36252103
2022-08-22,135.72,136.32,132.85,133.22,50461504
2022-08-19,140.47,141.11,137.9142,138.23,47792843
2022-08-18,141.32,142.77,140.38,142.3,37458737
2022-08-17,142.69,143.38,140.78,142.1,48149778
2022-08-16,143.905,146.57,142.0,144.78,59102859
2022-08-15,142.8,143.76,141.49,143.18,39014583
2022-08-12,142.05,143.57,140.1201,143.55,47643484
2022-08-11,143.86,144.49,139.76,140.64,44867336
2022-08-10,142.9,144.6,141.01,142.69,54773819
2022-08-09,138.052,138.9523,136.21,137.83,40434715
2022-08-08,142.05,144.23,138.29,139.41,52303475
2022-08-05,140.1,142.86,139.6,140.8,50686865
2022-08-04,140.58,143.56,139.55,142.57,70585020
2022-08-03,136.21,140.49,136.05,139.52,71827780
2022-08-02,134.72,137.44,134.09,134.16,61922429
2022-08-01,134.96,138.8339,133.51,135.39,76846908
2022-07-29,134.9,137.65,132.41,134.95,148892889
2022-07-28,121.57,122.84,118.08,122.28,82245543
2022-07-27,117.31,121.9,117.16,120.97,61582015
2022-07-26,115.79,118.15,114.53,114.81,67075064
2022-07-25,122.695,123.64,120.03,121.14,50221259
2022-07-22,125.01,125.5,121.3504,122.42,51463797
2022-07-21,123.2,124.85,121.26,124.63,60239892
2022-07-20,118.615,123.475,118.32,122.77,71268322
2022-07-19,115.7,118.95,114.03,118.21,60990043
2022-07-18,115.0,117.24,113.15,113.76,59115419
2022-07-15,112.5,115.59,111.59,113.55,84317816
2022-07-14,110.24,111.18,107.58,110.63,51163140
2022-07-13,107.03,111.78,106.01,110.4,61353812
2022-07-12,112.16,113.23,108.34,109.22,54280257
2022-07-11,114.08,114.3,110.87,111.75,53540019
2022-07-08,114.6,116.58,113.69,115.54,45719694
2022-07-07,113.85,116.99,113.49,116.33,57872323
2022-07-06,113.21,115.48,112.01,114.33,66958884
2022-07-05,107.6,114.08,106.3242,113.5,76684414
2022-07-01,106.29,109.75,105.8469,109.56,73021171
2022-06-30,108.11,108.18,102.52,106.21,97679401
2022-06-29,107.38,110.99,106.91,108.92,66375341
2022-06-28,113.5,114.85,107.04,107.4,75172028
2022-06-27,117.09,117.98,112.7,113.22,62133240
2022-06-24,112.38,116.71,111.43,116.46,69867618
2022-06-23,110.39,113.0,107.93,112.44,64345300
2022-06-22,107.43,112.13,107.02,108.95,60040131
2022-06-21,108.2,111.6299,103.56,108.68,70901245
2022-06-17,102.8,106.98,102.51,106.22,99772147
2022-06-16,104.47,104.58,102.01,103.66,82186301
2022-06-15,103.86,109.06,103.53,107.67,85011060
2022-06-14,104.19,104.88,101.43,102.31,69728761
2022-06-13,104.19,106.54,101.86,103.67,99277742
2022-06-10,113.415,114.5,109.05,109.65,87412245
2022-06-09,119.99,121.3,116.1,116.15,67029842
2022-06-08,122.61,123.75,120.75,121.18,64926594
2022-06-07,122.005,124.1,120.63,123.0,85156712
2022-06-06,125.245,128.99,123.81,124.79,135269024
2022-06-03,124.2,124.4,121.046,122.35,97603320
2022-06-02,121.684,125.61,120.045,125.511,100560680
2022-06-01,122.256,125.179,120.622,121.684,127528980
2022-05-31,116.28,121.994,115.675,120.21,144634160
2022-05-27,113.55,115.187,112.628,115.146,93660160
2022-05-26,107.97,112.665,107.454,111.078,93002600
2022-05-25,103.656,108.175,103.65,106.775,93120100
2022-05-24,104.025,105.4,101.26,104.1,102934680
2022-05-23,108.461,108.819,103.95,107.557,107797360
2022-05-20,109.568,109.898,105.009,107.591,99500640
2022-05-19,106.28,110.034,106.193,107.319,88142540
2022-05-18,111.44,112.853,106.249,107.112,108379180
2022-05-17,113.275,115.8,111.277,115.368,76447740
2022-05-16,113.1,113.992,110.354,110.81,74565740
2022-05-13,109.069,113.184,107.8,113.055,93684560
2022-05-12,102.75,110.781,102.406,106.931,132025140
2022-05-11,108.104,110.156,104.429,105.372,109703640
2022-05-10,111.25,112.642,107.171,108.859,105433820
2022-05-09,111.312,114.0,107.957,108.789,128124380
2022-05-06,114.85,119.051,113.081,114.772,124259900
2022-05-05,123.0,123.499,115.072,116.407,144391220
2022-05-04,123.6,126.0,119.183,125.929,110745360
2022-05-03,124.054,126.22,122.825,124.254,79133360
2022-05-02,122.401,124.668,118.375,124.5,148788980
